reflux_ratio,reboiler_duty,condenser_duty,feed_stage_location,column_pressure,feed_flow_rate,MeOH,EtAC,recovery_MeOH,recovery_EtAC,objective_0,objective_1,objective_2,objective_3,objective_4
3.2808248620117713,2238.796284353616,1805.3384006992765,27.0,0.776975293552172,40.0,0.9126460147107468,0.9167376958876066,0.8527504353057924,0.8478421164826522,4398.603057908278,0.0,0.0,-30.183362353719495,217.77016590276253
3.2808248620117713,2238.796284353616,1805.3384006992765,27.0,0.776975293552172,42.79414947711426,0.9115001339208257,0.9155001446344918,0.8500003214099817,0.8450003321236478,4400.838377489969,0.0,0.0,-32.095635031947026,218.5469394574003
4.0504653148008405,2238.796284353616,1805.3384006992765,27.0,0.776975293552172,42.79414947711426,0.9197971234782458,0.9244608933565054,0.8699130963477899,0.8655768662260496,4470.106018240986,0.0,0.0,-33.51588547726819,249.18359433973643
3.1284015449466436,2350.6543118588925,1805.3384006992765,25.0,1.494302572463143,47.08374270323061,0.9180640561220678,0.9225891806118331,0.8657537346929627,0.8612788591827281,4527.516435802161,0.0,0.0,-36.549048345586975,219.16849206100605
4.010161169604444,2352.519068123508,1814.7677168190885,21.0,0.9934766294818039,120.75521797866467,0.9005311776094406,0.9036536718181959,0.813297217273325,0.805344189684214,4659.577146621791,0.0,0.0,-85.26824332903348,273.6809676574453
4.010161169604444,2352.519068123508,1827.90707828717,22.0,1.0423467805124376,120.75521797866467,0.9008018206475881,0.903945966299395,0.8139467605648791,0.8060153844188197,4674.426963375946,0.0,0.0,-85.39896956529711,274.2007112438407
4.010161169604444,2352.519068123508,1888.4114601385538,21.0,0.9519214332264938,120.75521797866467,0.9015624354133551,0.9047674302464236,0.8157722360027202,0.8079017090379221,4731.76645807232,0.0,0.0,-85.7663623726491,276.20759355821383
4.010161169604444,2352.519068123508,1888.4114601385538,21.0,1.1342260495698855,120.75521797866467,0.9048989344654058,0.9083708492226382,0.8237798337276416,0.8161762266870077,4738.147119644339,0.0,0.0,-87.37796105391303,276.43091671323447
3.463543651445474,2747.2794460626083,1858.9761310974695,17.0,0.9519214332264938,120.75521797866467,0.902635354169996,0.9059261825035957,0.8183472410186581,0.8105625475543913,5047.89593033603,0.0,0.0,-86.28460452597534,266.84583518376843
4.010161169604444,2747.2794460626083,1858.9761310974695,20.0,0.9519214332264938,120.75521797866467,0.9074314630022986,0.9111059800424826,0.8298579022161845,0.8224568974585019,5097.091506970337,0.0,0.0,-88.60122519595177,288.99397026964436
4.010161169604444,2747.2794460626083,1858.9761310974695,20.0,0.9519214332264938,120.75521797866467,0.9074314630022986,0.9111059800424826,0.8298579022161845,0.8224568974585019,5097.091506970337,0.0,0.0,-88.60122519595177,288.99397026964436
4.010161169604444,2747.2794460626083,1858.9761310974695,20.0,0.9519214332264938,120.75521797866467,0.9074314630022986,0.9111059800424826,0.8298579022161845,0.8224568974585019,5097.091506970337,0.0,0.0,-88.60122519595177,288.99397026964436
4.010161169604444,2747.2794460626083,1886.2476434449952,18.0,0.9519214332264938,120.75521797866467,0.9086844714403932,0.9124592291556246,0.8328651224676114,0.8255643583849764,5124.363019317862,0.0,0.0,-89.20645442423661,289.94847320180776
4.650460303848786,2509.522965870149,2050.314180308413,16.0,0.8211398227891196,120.75521797866467,0.9098211392313421,0.9136868303698494,0.8355931251658887,0.8283832945065296,5103.722641705504,0.0,0.0,-89.75548869169806,316.95300214272555
4.010161169604444,2352.519068123508,2287.2136348746035,21.0,0.9519214332264938,120.75521797866467,0.9088259926200342,0.912612072029637,0.8332047732987498,0.8259153309104862,5130.56863280837,0.0,0.0,-89.27481210782122,290.1656696739756
4.650460303848786,2509.522965870149,2077.1484136145637,16.0,0.8211398227891196,120.75521797866467,0.9103330772820278,0.9142397234645901,0.8368217764875345,0.8296529008722303,5130.5568750116545,0.0,0.0,-90.00276545530659,317.8922003084408
6.0,2747.2794460626083,1858.9761310974695,20.0,1.0682066969550328,120.75521797866467,0.9179702834876191,0.9224879061666287,0.8551510713809536,0.8485931722620966,5280.246985936436,0.0,0.0,-93.69169545572332,394.99744900244144
4.010161169604444,2751.6900694208425,1886.2476434449952,18.0,0.9519214332264938,127.67970075947032,0.9053649186112035,0.9088741121000997,0.8214359542871533,0.8131771777001026,5134.313228900741,0.0,0.0,-92.62647414617662,292.02785123240994
4.010161169604444,2352.519068123508,1888.4114601385538,21.0,1.1342260495698855,122.3679776785725,0.9041296516035373,0.9075400237318203,0.8211271750092034,0.813300749369629,4739.4373274042655,0.0,0.0,-88.1684047466828,276.87926390980886
4.650460303848786,2509.522965870149,2050.314180308413,16.0,0.8211398227891196,120.75521797866467,0.9098211392313421,0.9136868303698494,0.8355931251658887,0.8283832945065296,5103.722641705504,0.0,0.0,-89.75548869169806,316.95300214272555
6.0,2747.2794460626083,1594.2769531845715,20.0,1.0682066969550328,120.75521797866467,0.9097137816488893,0.9135708841808005,0.835335466968002,0.8281170477020467,5015.547808023538,0.0,0.0,-89.70363273861507,385.73297777549
3.2808248620117713,2337.491226108184,1805.3384006992765,27.0,0.776975293552172,42.79414947711426,0.9135366378459902,0.9176995688736693,0.8548879308303763,0.8500508618580556,4499.533319244538,0.0,0.0,-32.4442368454839,222.0012624188102
3.1183821700720618,2350.6543118588925,1805.3384006992765,28.0,1.4946280905113545,40.0,0.9149317550910243,0.9192062954983063,0.8582362122184585,0.8535107526257404,4520.959091032552,0.0,0.0,-30.549080814563897,216.85510497925605
4.010161169604444,2747.2794460626083,1886.2476434449952,18.0,0.9519214332264938,120.75521797866467,0.9086844714403932,0.9124592291556246,0.8328651224676114,0.8255643583849764,5124.363019317862,0.0,0.0,-89.20645442423661,289.94847320180776
5.07245798292789,2747.2794460626083,1807.102243192045,17.0,0.9519214332264938,126.08616231301892,0.9096432548554471,0.9134947152438828,0.8325007304965636,0.8247435746536974,5145.089087731505,0.0,0.0,-93.62818225608416,340.24880859170185
